,"Birth Rate"
"1951",-0.79
"1952",-0.8
"1953",-0.81
"1954",-0.81
"1955",-0.85
"1956",-0.83
"1957",-0.83
"1958",-0.84
"1959",-0.11
"1960",-9.58
"1961",-2.41
"1962",12.58
"1963",3.38
"1964",-3.19
"1965",-1.9
"1966",-3.01
"1967",-0.87
"1968",0.39
"1969",-1.5
"1970",-0.76
"1971",-2.24
"1972",-1.44
"1973",-2.04
"1974",-2.77
"1975",-2.21
"1976",-2.74
"1977",-1.37
"1978",-0.93
"1979",-0.25
"1980",0.25
"1981",1.69
"1982",0.78
"1983",-2.04
"1984",-0.9
"1985",0
"1986",0.29
"1987",-0.4
"1988",-1.67
"1989",-1.77
"1990",-1.54
"1991",-2.36
"1992",-2.65
"1993",-1.6
"1994",-1.51
"1995",-1.65
"1996",-1.35
"1997",-1.45
"1998",-1.82
"1999",-1.81
"2000",-0.99
"2001",-1.49
"2002",-1.52
"2003",-1.31
"2004",-0.85
"2005",-0.81
"2006",-0.72
"2007",-0.34
"2008",-0.24
"2009",-0.78
"2010",-0.83
"2011",0.54
"2012",0.59
"2013",-2.69
"2014",-0.5
"2015",-2.63
"2016",0.21
"2017",-2.75
"2018",-3.04
"2019",-2.14
"2020",-3.65
"2021",-1.81
"2022",-1.66
"2023",-1.39
"2024",5.94
"2025",-0.98
