,"Birth Rate"
"1950",37.84
"1951",37.54
"1952",37.24
"1953",36.94
"1954",36.64
"1955",36.33
"1956",36.03
"1957",35.73
"1958",35.43
"1959",35.39
"1960",32
"1961",31.23
"1962",35.16
"1963",36.35
"1964",35.19
"1965",34.52
"1966",33.48
"1967",33.19
"1968",33.32
"1969",32.82
"1970",32.57
"1971",31.84
"1972",31.38
"1973",30.74
"1974",29.89
"1975",29.23
"1976",28.43
"1977",28.04
"1978",27.78
"1979",27.71
"1980",27.78
"1981",28.25
"1982",28.47
"1983",27.89
"1984",27.64
"1985",27.64
"1986",27.72
"1987",27.61
"1988",27.15
"1989",26.67
"1990",26.26
"1991",25.64
"1992",24.96
"1993",24.56
"1994",24.19
"1995",23.79
"1996",23.47
"1997",23.13
"1998",22.71
"1999",22.3
"2000",22.08
"2001",21.75
"2002",21.42
"2003",21.14
"2004",20.96
"2005",20.79
"2006",20.64
"2007",20.57
"2008",20.52
"2009",20.36
"2010",20.19
"2011",20.3
"2012",20.42
"2013",19.87
"2014",19.77
"2015",19.25
"2016",19.29
"2017",18.76
"2018",18.19
"2019",17.8
"2020",17.15
"2021",16.84
"2022",16.56
"2023",16.33
"2024",17.3
"2025",17.13
