,"Fertility Rate"
"1951",-0.2
"1952",-0.4
"1953",-0.2
"1954",-0.4
"1955",-0.2
"1956",-0.2
"1957",-0.41
"1958",-0.2
"1959",0.41
"1960",-4.67
"1961",-2.77
"1962",10.09
"1963",5.78
"1964",-3.39
"1965",-0.97
"1966",-2.17
"1967",-2.01
"1968",2.26
"1969",-2.01
"1970",-0.82
"1971",-3.1
"1972",-2.99
"1973",-2.86
"1974",-3.62
"1975",-4.46
"1976",-2.46
"1977",-3.27
"1978",-1.82
"1979",-0.27
"1980",-0.8
"1981",-0.54
"1982",0.27
"1983",-3.49
"1984",-0.56
"1985",-1.12
"1986",-0.57
"1987",-0.85
"1988",-2.59
"1989",-1.18
"1990",-1.19
"1991",-5.44
"1992",-2.88
"1993",-2.3
"1994",-1.68
"1995",-1.71
"1996",-1.74
"1997",-1.42
"1998",-1.08
"1999",-1.09
"2000",0.37
"2001",-1.47
"2002",-1.12
"2003",-0.75
"2004",-0.38
"2005",-0.76
"2006",0
"2007",-0.38
"2008",0
"2009",-0.38
"2010",-0.77
"2011",-0.78
"2012",0.39
"2013",-1.17
"2014",-0.4
"2015",-1.19
"2016",0
"2017",-1.2
"2018",-2.85
"2019",-1.67
"2020",-2.98
"2021",-1.32
"2022",-1.33
"2023",-0.9
"2024",9.55
"2025",-0.41
