,"Fertility Rate"
"1950",5.01
"1951",5
"1952",4.98
"1953",4.97
"1954",4.95
"1955",4.94
"1956",4.93
"1957",4.91
"1958",4.9
"1959",4.92
"1960",4.69
"1961",4.56
"1962",5.02
"1963",5.31
"1964",5.13
"1965",5.08
"1966",4.97
"1967",4.87
"1968",4.98
"1969",4.88
"1970",4.84
"1971",4.69
"1972",4.55
"1973",4.42
"1974",4.26
"1975",4.07
"1976",3.97
"1977",3.84
"1978",3.77
"1979",3.76
"1980",3.73
"1981",3.71
"1982",3.72
"1983",3.59
"1984",3.57
"1985",3.53
"1986",3.51
"1987",3.48
"1988",3.39
"1989",3.35
"1990",3.31
"1991",3.13
"1992",3.04
"1993",2.97
"1994",2.92
"1995",2.87
"1996",2.82
"1997",2.78
"1998",2.75
"1999",2.72
"2000",2.73
"2001",2.69
"2002",2.66
"2003",2.64
"2004",2.63
"2005",2.61
"2006",2.61
"2007",2.6
"2008",2.6
"2009",2.59
"2010",2.57
"2011",2.55
"2012",2.56
"2013",2.53
"2014",2.52
"2015",2.49
"2016",2.49
"2017",2.46
"2018",2.39
"2019",2.35
"2020",2.28
"2021",2.25
"2022",2.22
"2023",2.2
"2024",2.41
"2025",2.4
