,"Infant Mortality Rate"
"1951",-1.62
"1952",-1.64
"1953",-1.68
"1954",-1.7
"1955",-1.73
"1956",-1.76
"1957",-1.79
"1958",-1.82
"1959",-1.15
"1960",-1.17
"1961",-1.18
"1962",-1.19
"1963",-1.21
"1964",-2.69
"1965",-2.78
"1966",-2.85
"1967",-2.93
"1968",-3.03
"1969",-1.95
"1970",-1.98
"1971",-2.03
"1972",-2.07
"1973",-2.1
"1974",-1.94
"1975",-1.97
"1976",-2.01
"1977",-2.06
"1978",-2.1
"1979",-2.26
"1980",-2.33
"1981",-2.37
"1982",-2.44
"1983",-2.49
"1984",-2.23
"1985",-2.28
"1986",-2.34
"1987",-2.41
"1988",-2.45
"1989",-1.18
"1990",-3.15
"1991",0.31
"1992",-1.25
"1993",-1.89
"1994",-1.29
"1995",-1.79
"1996",-1.99
"1997",-2.03
"1998",-2.07
"1999",-3
"2000",-3.27
"2001",-3.01
"2002",-3.29
"2003",-3.61
"2004",-3.53
"2005",-3.88
"2006",-4.04
"2007",-3.74
"2008",-3.64
"2009",-3.02
"2010",-3.38
"2011",-2.15
"2012",-5.22
"2013",-2.9
"2014",-2.99
"2015",-2.15
"2016",-3.14
"2017",-2.6
"2018",-1.67
"2019",-2.03
"2020",-1.38
"2021",-1.4
"2022",-0.36
"2023",-3.21
"2024",-5.83
"2025",-2.08
