,"Infant Mortality Rate"
"1950",146.69
"1951",144.32
"1952",141.95
"1953",139.57
"1954",137.2
"1955",134.83
"1956",132.46
"1957",130.09
"1958",127.72
"1959",126.25
"1960",124.77
"1961",123.3
"1962",121.83
"1963",120.35
"1964",117.11
"1965",113.86
"1966",110.62
"1967",107.38
"1968",104.13
"1969",102.1
"1970",100.08
"1971",98.05
"1972",96.02
"1973",94
"1974",92.18
"1975",90.36
"1976",88.54
"1977",86.72
"1978",84.9
"1979",82.98
"1980",81.05
"1981",79.13
"1982",77.2
"1983",75.28
"1984",73.6
"1985",71.92
"1986",70.24
"1987",68.55
"1988",66.87
"1989",66.08
"1990",64
"1991",64.2
"1992",63.4
"1993",62.2
"1994",61.4
"1995",60.3
"1996",59.1
"1997",57.9
"1998",56.7
"1999",55
"2000",53.2
"2001",51.6
"2002",49.9
"2003",48.1
"2004",46.4
"2005",44.6
"2006",42.8
"2007",41.2
"2008",39.7
"2009",38.5
"2010",37.2
"2011",36.4
"2012",34.5
"2013",33.5
"2014",32.5
"2015",31.8
"2016",30.8
"2017",30
"2018",29.5
"2019",28.9
"2020",28.5
"2021",28.1
"2022",28
"2023",27.1
"2024",25.52
"2025",24.99
