"Entity","Code","Year","avgBirthWomen","childDeath100LiveBirths","democracyIndex","popNoEduc","popBasicEduc","avgChildbearingAge","gpdCapita","population","familyPlanSatisfied","notPregNoContraception","litRate","govnSpendEduc","womenEmpowermentIndex","marriageRate"
"United States","USA",1933,2.012,NA,0.546,NA,NA,27.97,NA,122717780,NA,NA,NA,NA,0.407,8.7
"United States","USA",1934,2.072,NA,0.547,NA,NA,27.84,NA,123580010,NA,NA,NA,NA,0.407,10.3
"United States","USA",1935,2.038,NA,0.559,NA,NA,27.71,NA,124448298,NA,NA,NA,NA,0.411,10.4
"United States","USA",1936,2.007,NA,0.559,NA,NA,27.6,NA,125322686,NA,NA,NA,NA,0.396,10.7
"United States","USA",1937,2.038,NA,0.557,NA,NA,27.44,NA,126203219,NA,NA,NA,NA,0.396,11.3
"United States","USA",1938,2.092,NA,0.558,NA,NA,27.36,NA,127089938,NA,NA,NA,NA,0.396,10.3
"United States","USA",1939,2.05,NA,0.557,NA,NA,27.33,NA,128160070,NA,NA,NA,NA,0.396,10.7
"United States","USA",1940,2.113,NA,0.568,NA,NA,27.28,NA,129417367,NA,NA,97.1,NA,0.425,12.1
"United States","USA",1941,2.226,NA,0.564,NA,NA,27.13,NA,130865641,NA,NA,NA,NA,0.427,NA
"United States","USA",1942,2.465,NA,0.547,NA,NA,26.98,NA,132508765,NA,NA,NA,NA,0.44,13.2
"United States","USA",1943,2.566,NA,0.544,NA,NA,27.18,NA,134350677,NA,NA,NA,NA,0.437,11.8
"United States","USA",1944,2.439,NA,0.545,NA,NA,27.46,NA,136218191,NA,NA,NA,NA,0.437,11
"United States","USA",1945,2.38,NA,0.56,NA,NA,27.74,NA,138111665,NA,NA,NA,NA,0.454,12.1
"United States","USA",1946,2.83,NA,0.603,NA,NA,27.31,NA,140031458,NA,NA,NA,NA,0.469,16.4
"United States","USA",1947,3.161,NA,0.607,NA,NA,26.84,NA,141977937,NA,NA,NA,NA,0.477,13.9
"United States","USA",1948,3.009,NA,0.599,NA,NA,26.69,NA,143951473,NA,NA,NA,NA,0.471,12.4
"United States","USA",1949,3.022,3.867702,0.58,NA,NA,26.64,NA,146051521,NA,NA,NA,NA,0.471,10.6
"United States","USA",1950,3.086,3.7639985,0.585,4.166215,95.833786,26.629,15911.842,154202632,NA,NA,96.5,NA,0.481,11.1
"United States","USA",1951,3.197,3.662208,0.611,NA,NA,26.575,16814.244,156481263,NA,NA,NA,NA,0.481,10.4
"United States","USA",1952,3.29,3.562295,0.611,NA,NA,26.616,17094.783,158794170,NA,NA,NA,NA,0.482,9.9
"United States","USA",1953,3.358,3.4668858,0.612,NA,NA,26.584,17586.408,161168268,NA,NA,NA,NA,0.481,9.8
"United States","USA",1954,3.475,3.3791542,0.611,NA,NA,26.561,17226.95,163636251,NA,NA,NA,NA,0.484,9.2
"United States","USA",1955,3.515,3.2998774,0.609,3.561091,96.43891,26.519,18205.357,166199979,NA,NA,NA,NA,0.489,9.3
"United States","USA",1956,3.624,3.2313037,0.613,NA,NA,26.449,18296.604,168824918,NA,NA,NA,NA,0.497,9.5
"United States","USA",1957,3.703,3.1700149,0.614,NA,NA,26.426,18360.441,171499183,NA,NA,NA,NA,0.504,8.9
"United States","USA",1958,3.754,3.1137424,0.624,NA,NA,26.414,17873.422,174215249,NA,NA,NA,NA,0.501,8.4
"United States","USA",1959,3.747,3.0603986,0.623,NA,NA,26.415,18855.44,177145721,NA,NA,NA,NA,0.501,8.5
"United States","USA",1960,3.732,3.0056908,0.644,3.031237,96.968765,26.413,19079.525,180274505,NA,NA,NA,NA,0.532,8.5
"United States","USA",1961,3.691,2.9488704,0.659,NA,NA,26.444,19246.521,183489436,NA,NA,NA,NA,0.532,8.5
"United States","USA",1962,3.533,2.891594,0.661,NA,NA,26.457,20092.72,186724236,NA,NA,NA,NA,0.534,8.5
"United States","USA",1963,3.39,2.833262,0.675,NA,NA,26.517,20687.402,189825167,NA,NA,NA,NA,0.534,8.8
"United States","USA",1964,3.258,2.7729993,0.677,NA,NA,26.565,21628.648,192819400,NA,NA,NA,NA,0.544,9
"United States","USA",1965,2.983,2.7088509,0.677,2.5885887,97.41141,26.522,22745.727,195653733,NA,NA,NA,NA,0.542,9.3
"United States","USA",1966,2.769,2.6407998,0.695,NA,NA,26.384,23932.8,198265356,NA,NA,NA,NA,0.559,9.5
"United States","USA",1967,2.605,2.5681357,0.704,NA,NA,26.311,24255.71,200699861,NA,NA,NA,NA,0.559,9.7
"United States","USA",1968,2.508,2.491046,0.702,NA,NA,26.229,25147.795,203010975,NA,NA,NA,NA,0.564,10.4
"United States","USA",1969,2.504,2.4098334,0.696,NA,NA,26.15,25697.338,205299986,NA,NA,NA,NA,0.595,10.6
"United States","USA",1970,2.515,2.3244143,0.717,2.259851,97.74015,26.058,25444.533,207796288,NA,NA,NA,NA,0.644,10.6
"United States","USA",1971,2.318,2.2366903,0.726,NA,NA,25.982,26055.357,210426379,NA,NA,NA,NA,0.651,10.6
"United States","USA",1972,2.057,2.1469047,0.735,NA,NA,25.894,27223.623,212842531,NA,NA,NA,17.488531,0.661,10.9
"United States","USA",1973,1.921,2.0567243,0.755,NA,NA,25.823,28641.65,215006504,NA,NA,NA,17.778849,0.672,10.8
"United States","USA",1974,1.872,1.9669744,0.76,NA,NA,25.774,28130.115,217076422,NA,NA,NA,17.638126,0.684,10.5
"United States","USA",1975,1.815,1.8781835,0.784,2.012823,97.987175,25.798,27739.982,219129243,NA,NA,NA,17.391733,0.715,10
